unit;rzb_cdr_counterparty_code;entity_type;entity_type_desc;rzb_cdr_counterparty_name;rzb_cdr_internal_rating;rzb_cdr_ead_pre_ccf;rzb_cdr_ead_pre_ccf;cc;cc1;dqi_check
RBRS;792390;6;Small Medium Business (SMB);BOFOR KGD KD;SME_10;37437.34737;37437.34737;792390;792390;OK
RLHR;534770;3;Corporates;ADLER EXPORT-IMPORT, D.O.O.;CORP_10;5123.88;5123.88;534770;534770;OK
RBHU;845401;3;Corporates;AZON Ingatlanforgalmazó és Hasznosí-tó Kft.;CORP_10;2196.870306;2196.870306;845401;845401;OK
RBBY;1850777;6;Small Medium Business (SMB);OOO 'GRAND MARSHE';SME_10;32407.71485;32407.71485;1850777;1850777;OK
RBBY;895509;6;Small Medium Business (SMB);OOO 'RANDIS';SME_10;146555.0675;146555.0675;895509;895509;OK
RBHU;528073;6;Small Medium Business (SMB);Eurocamion Transport Kft;SME_10;65095.58;65095.58;528073;528073;OK
RBRO;1328275;6;Small Medium Business (SMB);HIDROCAD ID;SME_10;211.9931307;211.9931307;1328275;1328275;OK
RLRS;2152851;6;Small Medium Business (SMB);PROLAW ING DOO NOVI SAD;SME_10;54929.24;54929.24;2152851;2152851;OK
RBRO;1597529;6;Small Medium Business (SMB);ANGELY EUROTRANSPORTURI SRL;SME_10;31369.42207;31369.42207;1597529;1597529;OK
RBCZ;599168;6;Small Medium Business (SMB);SYCOREX CR S R O;SME_10;6.178470729;6.178470729;;;OK
RBHR;171861;3;Corporates;TOLJ PLOCE D.O.O.;CORP_10;132722.8084;132722.8084;171861;;OK
AVAL;345668;6;Small Medium Business (SMB);FOP POPROTS`KYI H.B.;SME_10;103012.282;103012.282;345668;;OK
RBBH;297106;3;Corporates;MADACO DOO BANJA LUKA;CORP_10;5462.110715;5462.110715;297106;297106;OK
RBRO;292724;6;Small Medium Business (SMB);VARIANT CONSTRUCT SRL;SME_10;889.1180929;889.1180929;292724;;OK
RBRU;1526693;6;Small Medium Business (SMB);OOO ZAVOD ROSPROMGAZ;SME_10;131876.8687;131876.8687;1526693;1526693;OK
ALEASS;702274;6;Small Medium Business (SMB);DANIELE QUIRINO;SME_10;491808.43;491808.43;702274;;OK
RBRO;511417;3;Corporates;IPM-PARTNERS ROMANIA SA;CORP_10;47018.98233;47018.98233;511417;511417;OK
CASRS;2128404;6;Small Medium Business (SMB);BS PROCESOR DOO BEOGRAD   U STECAJU;SME_10;170128.02;170128.02;2128404;2128404;OK
RBRO;131415;6;Small Medium Business (SMB);MORIPAN ALEX;SME_10;388190.0155;388190.0155;131415;131415;OK
RBRO;120332;3;Corporates;AVICOLA TARTASESTI;CORP_10;147.38;147.38;;;OK
AVAL;298695;6;Small Medium Business (SMB);"PVKP ""PLESO""";SME_10;10.26931272;10.26931272;;;OK
RBRO;191456;6;Small Medium Business (SMB);TRIUMPH IMEX SRL;SME_10;40.99808062;40.99808062;191456;191456;OK
AVAL;177229;3;Corporates;"TDV ""Orikhivskyi Khlibokombinat""";CORP_10;360680.7962;360680.7962;177229;177229;OK
RBRO;673466;3;Corporates;ACMS CONSTRUCTII CIVILE SRL;CORP_10;71.43077518;71.43077518;673466;673466;OK
RLCZ;1554140;6;Small Medium Business (SMB);KIAN S.R.O. V LIKVIDACI;SME_10;701.06;701.06;1554140;1554140;OK
RBCZ;807434;3;Corporates;Orpea SA;CORPL_10;10076438.36;10076438.36;807434;807434;OK
RBKO;768187;3;Corporates;NEWCO URATA SUPERMARKET NO III SHPK;CORP_10;941532.96;941532.96;768187;768187;OK
RLRS;1496530;3;Corporates;CAMMEO TAXI PARTNER DOO BEOGRAD-CAMMEO TAXI PARTNER DOO BEOGRAD;CORP_10;9454.13;9454.13;1496530;1496530;OK
RBBH;935328;6;Small Medium Business (SMB);TURISTIK DOO BIHAC;SME_10;19083.79563;19083.79563;935328;935328;OK
ALEASS;702177;6;Small Medium Business (SMB);F.I.M.E. ASTI DI MOISIO;SME_10;85312.98;85312.98;702177;702177;OK
RBRU;1560409;3;Corporates;T2 OOO;CORP_10;104494.889;104494.889;1560409;1560409;OK
RBHU;75222;6;Small Medium Business (SMB);"Erdõsor 2007 Kereskedelmi és Szolgá-ltató Betéti Társaság ""kényszertörl";SME_10;149.6877042;149.6877042;75222;75222;OK
RBHR;107521;6;Small Medium Business (SMB);IV-ER - KVC D.O.O.;SME_10;217381.6573;217381.6573;107521;107521;OK
RBRO;463565;6;Small Medium Business (SMB);DANUBIUS FOOD TRADING SRL;SME_10;59.68254919;59.68254919;463565;463565;OK
RBRS;145225;3;Corporates;DOO EURO GAS SUBOTICA;CORP_10;366437.974;366437.974;145225;145225;OK
AVAL;1970409;6;Small Medium Business (SMB);"FH ""Yasna Poliana-Ahro""";SME_10;32525.67465;32525.67465;1970409;1970409;OK
TBSK;648153;18;Specialised Lending Project (excl. Commodity);BPS Sintava, s. r. o.;SLOT_PF_6.5;730073.97;730073.97;648153;648153;OK
RBHU;1992807;3;Corporates;NUR Online Korlátolt Felelõsségû Tá-rsaság;CORP_10;33.68386807;33.68386807;1992807;1992807;OK
RBBY;713986;6;Small Medium Business (SMB);'INTERTRANSKOMPANI' OOO;SME_10;20673.53532;20673.53532;713986;713986;OK
RBRO;929257;6;Small Medium Business (SMB);FORSTINGER COM SRL;SME_10;102357.7393;102357.7393;929257;929257;OK
RLRO;513108;6;Small Medium Business (SMB);INTEREXTRAPLAST SRL;SME_10;1509.1321;1509.1321;513108;;OK
AVAL;2020202;6;Small Medium Business (SMB);"TOV ""Budivelna kompaniia ""Vertykal ";SME_10;14182.01588;14182.01588;2020202;2020202;OK
RBHU;845862;6;Small Medium Business (SMB);+361 City Ingatlankezelõ Kft.;SME_10;4.0320045;4.0320045;845862;845862;OK
RLRU;1363199;3;Corporates;NMCKASH LIMITED LIABILITY COMPANY;CORP_10;425681.9965;425681.9965;1363199;1363199;OK
RBRO;149350;3;Corporates;LUCONS SRL;CORP_10;1836.769371;1836.769371;149350;;OK
RBRU;708672;3;Corporates;APEKS OOO;CORP_10;0.000257106;0.000257106;708672;708672;OK
RBRU;631287;6;Small Medium Business (SMB);ZIMIN ANATOLIY UREVICH  IEN;SME_10;122692.1957;122692.1957;631287;631287;OK
RBRO;292559;3;Corporates;DUMEXIM S R L;CORP_10;7.345416953;7.345416953;;;OK
RBAL;533077;3;Corporates;HARI LENA SHPK;CORP_10;5;5;533077;533077;OK
RBHU;726268;3;Corporates;"Bonded 2 You Zrt. ""FA""";CORP_10;381.7810012;381.7810012;726268;726268;OK
RBRO;543819;6;Small Medium Business (SMB);FANY PRESTARI SERVICII SRL;SME_10;491.8678655;491.8678655;543819;543819;OK
AVAL;798841;6;Small Medium Business (SMB);"TOV ""Resurs-Ahrotsentr""";SME_10;16394.07639;16394.07639;798841;798841;OK
AVAL;529523;3;Corporates;tOV AHRO - VIL'NE;CORP_10;119566.2468;119566.2468;529523;529523;OK
RLHR;700886;6;Small Medium Business (SMB);LAVANDA TURIST GRUPA D.O.O.-turisticka agencija;SME_10;14132.90059;14132.90059;700886;700886;OK
AVAL;216447;6;Small Medium Business (SMB);FEDORCHUK PETR YVANOVYCH;SME_10;0.898564863;0.898564863;;;OK
RBRO;463992;6;Small Medium Business (SMB);SELECT G.C.  S.R.L;SME_10;146.3903994;146.3903994;463992;;OK
RBRO;1353356;6;Small Medium Business (SMB);STORM IMPEX SRL;SME_10;66658.94556;66658.94556;1353356;1353356;OK
RBRU;665428;6;Small Medium Business (SMB);PROIZVODSTVENNO-KOMMERCHESKAYA FIRM-A TRANSSPETSPROM OOO;SME_10;12855.31406;12855.31406;665428;;OK
RBRU;1865674;3;Corporates;ELECTROCARS RUS LLC;CORP_10;113521.6843;113521.6843;1865674;1865674;OK
RBHU;302058;6;Small Medium Business (SMB);"SEMPA Kereskedelmi és Szolg. ""FA""";SME_10;115740.6774;115740.6774;302058;302058;OK
RBCZ;2050887;6;Small Medium Business (SMB);ATOMTRACE A S;SME_10;377469.1518;377469.1518;2050887;2050887;OK
AVAL;694860;3;Corporates;"TOV ""Prydniprovs'ke""";CORP_10;179954.4159;179954.4159;694860;694860;OK
RLKO;1597843;6;Small Medium Business (SMB);GOLDEN EGGS SH.P.K;SME_10;27679.7;27679.7;1597843;1597843;OK
RLBY1;492333;3;Corporates;VKM-SERVIS OOO;CORP_10;15547.40019;15547.40019;492333;492333;OK
RBRU;1557417;3;Corporates;MIYAKIMOLZAVOD AO;CORP_10;77412.23929;77412.23929;1557417;1557417;OK
RBRO;756238;6;Small Medium Business (SMB);COU VISKOL SRL;SME_10;1055.927938;1055.927938;756238;756238;OK
RBBH;294030;36;Private Individual (Non-Retail);;CORP_10;13065.84417;13065.84417;294030;;OK
RBAL;297488;6;Small Medium Business (SMB);NEK & CO SHPK;SME_10;10.50512124;10.50512124;;;OK
RBAL;799361;6;Small Medium Business (SMB);TA-DIN SHPK;SME_10;204023.9875;204023.9875;799361;799361;OK
RBBH;1313380;6;Small Medium Business (SMB);BOJE I LAKOVI SVJETLOST DOO TUZLA;SME_10;1004.36132;1004.36132;1313380;1313380;OK
RBRO;106950;3;Corporates;EUROPEAN TOBACCO;CORP_10;55.23854347;55.23854347;106950;;OK
RBRO;248044;3;Corporates;ZOO TRANS IMPEX SRL;CORP_10;325.2912618;325.2912618;248044;;OK
TLSK;208802;3;Corporates;PROTRIEM, spol. s r.o.;CORP_10;369543.95;369543.95;208802;208802;OK
RBI;717503;3;Corporates;Ravenwood Acquisition Company-Ltd;CORP_10;56295631.2;56295631.2;717503;;OK
RBRO;192306;3;Corporates;ESTAGROTEH SRL;CORP_10;227381.6489;227381.6489;192306;192306;OK
TBSK;1088158;6;Small Medium Business (SMB);Delta Zet, s. r. o.;SME_10;131537.7;131537.7;1088158;1088158;OK
CASRS;676544;6;Small Medium Business (SMB);PREDUZECE ZA PROIZVODNJU  PROMET I;SME_10;5.071495293;5.071495293;;676544;ERROR
RBBH;1204934;6;Small Medium Business (SMB);DUJAKOVIC DOO BANJA LUKA;SME_10;3614.25584;3614.25584;1204934;1204934;OK
RLRO;521878;3;Corporates;SC EXPLORA RX SRL;CORP_10;382086.2534;382086.2534;521878;;OK
RBRO;869215;6;Small Medium Business (SMB);AM GRUP SRL;SME_10;6357.912922;6357.912922;869215;869215;OK
RBCZ;1848907;3;Corporates;TOV SUUP ANFOL;CORP_10;165266;165266;1848907;1848907;OK
RBBY;1051968;6;Small Medium Business (SMB);'KLASSIK SISTEM' OOO;SME_10;268775.3914;268775.3914;1051968;1051968;OK
TLSK;669926;6;Small Medium Business (SMB);GR8 cars, s. r. o.;SME_10;13701.64;13701.64;669926;669926;OK
RBRO;546623;6;Small Medium Business (SMB);MCGILL MARINE SERVICES;SME_10;21.39205981;21.39205981;546623;546623;OK
RBBY;1782057;6;Small Medium Business (SMB);ZHELEZOGRAD OOO;SME_10;6189.317671;6189.317671;1782057;1782057;OK
RBRO;2073095;3;Corporates;ALKAGESTA BALKANS SRL;CORP_10;329.8439059;329.8439059;2073095;2073095;OK
AVAL;307159;6;Small Medium Business (SMB);"TOV ""Entuziast""";SME_10;106591.1727;106591.1727;307159;307159;OK
RFACTOR;340;3;Corporates;Ing. H. Gradwohl;CORP_10;1095379;1095379;340;340;OK
RBRS;733658;6;Small Medium Business (SMB);GMS DOO SMEDEREVO;SME_10;130752.8625;130752.8625;733658;733658;OK
RBHR;169064;6;Small Medium Business (SMB);CENTRUS TIM D.O.O.;SME_10;364081.0313;364081.0313;169064;169064;OK
CASRS;2169711;6;Small Medium Business (SMB);URSO PLUS;SME_10;32775.56;32775.56;2169711;2169711;OK
RLBH;167440;3;Corporates;SEMBERIJA TRANSPORT AD BIJELJINA;CORP_10;78631.82;78631.82;167440;167440;OK
RBBY;570710;6;Small Medium Business (SMB);"obshestvo s ogranichennoi otvetstve-nnostyu ""mirpak""";SME_10;1849.123131;1849.123131;570710;570710;OK
TBSK;1040826;18;Specialised Lending Project (excl. Commodity);SUN lakes apartments I spol. s r.o.;SLOT_RE_6.5;426544.9;426544.9;1040826;1040826;OK
RBBH;1877948;3;Corporates;ABC SOFTWARE DOO PODRUZNICA TUZLA;CORP_10;0.005112919;0.005112919;1877948;1877948;OK
RBI;164642;11;Banks;PJSC Sovcombank;FIN_10;2010125.633;2010125.633;164642;164642;OK
RBBH;923954;6;Small Medium Business (SMB);WOOD LINE DOO TESANJ;SME_10;49307.69034;49307.69034;923954;923954;OK
AVAL;222325;3;Corporates;"TOV ""NOVYI ZAPOVIT";CORP_10;853926.4003;853926.4003;222325;222325;OK
AVAL;1002512;6;Small Medium Business (SMB);FH `SHans`;SME_10;194892.273;194892.273;1002512;1002512;OK
RBRO;1328588;6;Small Medium Business (SMB);DISTRIBUTIONEBBP TOP TRADE;SME_10;154729.6919;154729.6919;1328588;1328588;OK
RBRO;466858;3;Corporates;C + C SA;CORP_10;844965.9786;844965.9786;466858;466858;OK
AVAL;176651;3;Corporates;Pryvatne Pidpryiemstvo 'Severyn';CORP_10;254725.7245;254725.7245;176651;176651;OK
RBKO;1338583;3;Corporates;''ALDEX QERAMIKA '' SH.P.K;CORP_10;782211.37;782211.37;1338583;1338583;OK
RBRO;808349;3;Corporates;VIPOL IMPEX SRL;CORP_10;9.483786243;9.483786243;808349;808349;OK
AVAL;1883467;6;Small Medium Business (SMB);"TOV ""Atp Mtrans""";SME_10;20287.52534;20287.52534;1883467;1883467;OK
RBRO;729381;39;Associations;ASOC ROM PT MANAGEMENT IN APROV SI;CORP_10;751.7345188;751.7345188;729381;;OK
RBBY;1583207;6;Small Medium Business (SMB);BESHENKOVICHSKII LESKHOZ GLU;SME_10;63326.31771;63326.31771;1583207;1583207;OK
RLRU;2053358;3;Corporates;KARDINAL;CORP_10;104809.3653;104809.3653;2053358;2053358;OK
RBBY;756595;6;Small Medium Business (SMB);'GolPolTorg' OOO;SME_10;48126.31363;48126.31363;756595;756595;OK
RBHU;590077;6;Small Medium Business (SMB);"MIND CENTER Tanácsadó és Szolgáltat-ó Korlátolt Felelõsségû Társaság ""f";SME_10;977.9592383;977.9592383;590077;590077;OK
RBCZ;1504502;3;Corporates;NOVARES Group SAS;CORP_10;467567.25;467567.25;1504502;1504502;OK
TBSK;1432833;6;Small Medium Business (SMB);Freibus SLOVAKIA, s.r.o.;SME_10;30.97;30.97;1432833;1432833;OK
RBBY;292827;6;Small Medium Business (SMB);STILMARK SP;SME_10;642623.7358;642623.7358;292827;292827;OK
AVAL;196288;3;Corporates;TOV HELIOS-1;CORP_10;1404624.494;1404624.494;196288;196288;OK
RBBY;1498993;6;Small Medium Business (SMB);PROGREEM OOO;SME_10;139883.0046;139883.0046;1498993;1498993;OK
RBRO;120781;3;Corporates;UCM RESITA SA;CORP_10;2.660727545;2.660727545;;;OK
RBAL;882519;6;Small Medium Business (SMB);RIVIERA 2013 S&V SHPK;SME_10;198.1180949;198.1180949;882519;882519;OK
TBSK;190745;62;Retail customers with Non-Retail treatment;;CORP_10;108264.06;108264.06;190745;;OK
RLRS;946044;3;Corporates;STIM GRADNJA DOO BEOGRAD;CORP_10;34163.72;34163.72;946044;946044;OK
AVAL;597621;3;Corporates;"VAT ""Lubenskyi Molochnyi Zavod""";CORP_10;142672.6468;142672.6468;597621;597621;OK
AVAL;734487;6;Small Medium Business (SMB);FH ''Blahovishchens'ke'';SME_10;163196.7355;163196.7355;734487;734487;OK
RBRO;811621;3;Corporates;QUICKBUILD TEAM SRL;CORP_10;536.6966361;536.6966361;811621;811621;OK
RBAL;315088;3;Corporates;KANTINA PIJEVE GJERGJ KASTRIOTI;CORP_10;1509109.35;1509109.35;315088;;OK
RBBY;1345140;6;Small Medium Business (SMB);OTP-KOMPLEKTATSIYA OOO;SME_10;49333.28471;49333.28471;1345140;1345140;OK
RBRO;465892;6;Small Medium Business (SMB);TOTAL SERVICE PETRUTA SRL;SME_10;2141.062734;2141.062734;465892;;OK
RBRO;1197141;34;Other Administrative Body or Non-Commercial Undertaking;LICEUL DE ARTE PLASTICE;CORP_10;4.040609153;4.040609153;;;OK
RBRS;1590943;6;Small Medium Business (SMB);GALILEO TOURS DOO LAZAREVAC;SME_10;3853.324766;3853.324766;1590943;1590943;OK
AVAL;780790;6;Small Medium Business (SMB);SPD DIAKOVYCH S.IU;SME_10;79554.68224;79554.68224;780790;780790;OK
RBHR;1339436;3;Corporates;ZUVELA D.O.O.;CORP_10;3598766.37;3598766.37;1339436;1339436;OK
RBCZ;2084692;18;Specialised Lending Project (excl. Commodity);JAN PECKA;SLOT_PF_6.5;148221.6911;148221.6911;2084692;2084692;OK
RBHR;107834;3;Corporates;ULJANIK PLOVIDBA d. d.;CORP_10;842718.5882;842718.5882;107834;;OK
AVAL;176846;3;Corporates;LUHANSKE ENERHET. OBIEDNANNIA;CORP_10;343.063079;343.063079;;;OK
RBHR;1029621;6;Small Medium Business (SMB);M.A.K. & N TRADE, D.O.O.;SME_10;105729.13;105729.13;1029621;1029621;OK
RFACTOR;1593432;3;Corporates;oe24 GmbH;CORP_10;156771.99;156771.99;1593432;1593432;OK
RBHR;174097;6;Small Medium Business (SMB);BRANKA JAJAC, TEEN SHOP TRGOVACKI O-BRT;SME_10;5549.516225;5549.516225;174097;174097;OK
RBBH;960174;6;Small Medium Business (SMB);MAXI GROUP DOO;SME_10;315042.7184;315042.7184;960174;960174;OK
RBRO;465071;6;Small Medium Business (SMB);SC IDEAL LOGISTIC SRL;SME_10;1089.756541;1089.756541;465071;465071;OK
RBRS;1035552;3;Corporates;CG FOODS EUROPE;CORP_10;3555000;3555000;1035552;1035552;OK
AVAL;178344;3;Corporates;"TOV ""40 ROKIV-AHRO""-TOV ""40 rokiv-ahro""";CORP_10;507219.2482;507219.2482;178344;178344;OK
RBAL;231500;6;Small Medium Business (SMB);ALB ITAL KONSTRUKSION SHPK;SME_10;379.9539523;379.9539523;231500;;OK
RBHR;1030046;6;Small Medium Business (SMB);DINAMIX D. O. O.;SME_10;354086.0951;354086.0951;1030046;1030046;OK
RBRO;546992;6;Small Medium Business (SMB);RANCH SWINE SRL;SME_10;556.1006163;556.1006163;546992;546992;OK
RBHU;874415;6;Small Medium Business (SMB);BEST LEATHER Kft.;SME_10;165.1811881;165.1811881;874415;874415;OK
RBAL;1228176;6;Small Medium Business (SMB);DIAMOND SOCIETY SHPK;SME_10;63563.6435;63563.6435;1228176;1228176;OK
RBRO;957334;39;Associations;AS PROP TOTH SANDOR BL 1-2-3;CORP_10;219.0625316;219.0625316;957334;957334;OK
RBBH;915015;6;Small Medium Business (SMB);TM MINELI DOO ZEPCE;SME_10;101636.9623;101636.9623;915015;915015;OK
RBAL;162717;3;Corporates;BI INVESTMENTS SHPK;CORP_10;155.1957051;155.1957051;;;OK
ALEASS;702720;3;Corporates;ESSEIMMOBILIARE S.R.L.;CORP_10;79690.8;79690.8;702720;702720;OK
RBCZ;811893;3;Corporates;FG FINANCIAL GROUP A S;CORP_10;844.4273516;844.4273516;811893;811893;OK
RBBH;1025438;6;Small Medium Business (SMB);SAPID DOO SARAJEVO;SME_10;17326.79732;17326.79732;1025438;1025438;OK
ALEASS;702756;3;Corporates;SILTOM S.R.L.;CORP_10;362468.45;362468.45;702756;;OK
RLHR;108556;3;Corporates;KLANATRANS PRIJEVOZ ROBE U CESTOVNO-M PROMETU, D.O.O.;CORP_10;19266.55;19266.55;108556;108556;OK
RLHR;1228759;3;Corporates;UNIQUE PROPERTY GROUP D.D.;CORP_10;22524.44;22524.44;1228759;1228759;OK
RBRU;178987;3;Corporates;RADA OBSHCHESTVO S OGRANICHENNOI OT-VETSTVENNOSTYU;CORP_10;7657.153056;7657.153056;178987;;OK
RBBH;1828667;3;Corporates;MS & WOOD DD FOJNICA;CORP_10;69392.53412;69392.53412;1828667;1828667;OK
RBBY;1615370;6;Small Medium Business (SMB);GRAK SERGEY NIKOLAEVICH IP;SME_10;116504.3463;116504.3463;1615370;1615370;OK
RBHU;193372;3;Corporates;P-ROB-INVEST Ingatlanforgalmazó Bt.;CORP_10;4851.170523;4851.170523;193372;193372;OK
RLRU;1516057;3;Corporates;PK AKULCHEV;CORP_10;58361.08897;58361.08897;1516057;1516057;OK
RBRO;448479;3;Corporates;LEATHER & SHOE SRL;CORP_10;537209.9;537209.9;448479;448479;OK
RLRS;537920;3;Corporates;LEONI WIRING SYSTEMS SOUTHEAST DOO;CORP_10;1774034.24;1774034.24;537920;537920;OK
TLSK;1449669;6;Small Medium Business (SMB);LAUREX, s.r.o.;SME_10;57263.54;57263.54;1449669;1449669;OK
RLRU;1932690;3;Corporates;PSK GEORGIEVSKDORSTROI;CORP_10;7033.822964;7033.822964;1932690;1932690;OK
RBBY;158311;3;Corporates;BRESTSKOE PIVO OAO-0;CORP_10;357333.1315;357333.1315;158311;;OK
AVAL;910910;6;Small Medium Business (SMB);"FH ""Ahrarnyk-V""";SME_10;53990.75553;53990.75553;910910;910910;OK
RBRU;1057821;3;Corporates;LLC TH BILITE;CORP_10;2713546.66;2713546.66;1057821;1057821;OK
RBRS;946265;6;Small Medium Business (SMB);KIMBA DOO GROCKA;SME_10;114638.0159;114638.0159;946265;946265;OK
RLBH;935801;6;Small Medium Business (SMB);TOMDAR STR KRESEVO VL BRANKA OROZ;SME_10;1274.1;1274.1;935801;935801;OK
RBRO;159935;6;Small Medium Business (SMB);SECURITY CONDOR GRUP SRL;SME_10;2677.284575;2677.284575;159935;;OK
RPL;1515256;3;Corporates;Magyar Vasúti Áruszállító Kft.;CORP_10;924931.1888;924931.1888;1515256;1515256;OK
RBBY;2068357;6;Small Medium Business (SMB);AYA KOMPANIYA' - UKKH 'STROJINZH;SME_10;57769.06582;57769.06582;2068357;2068357;OK
RBRU;789376;3;Corporates;STROIMARKET-M OOO;CORP_10;0.000128553;0.000128553;789376;;OK
RBRU;1062829;6;Small Medium Business (SMB);PETRUKHIN VADIM YUREVICH (IP);SME_10;78153.89281;78153.89281;1062829;1062829;OK
AVAL;1971979;6;Small Medium Business (SMB);"FERMERSKE HOSPODARSTVO ""DEMA""-Fermerske Hospodarstvo ""Dema""";SME_10;18992.64998;18992.64998;1971979;1971979;OK
RBBH;935798;6;Small Medium Business (SMB);OB METAL DOO KRESEVO;SME_10;12.21987596;12.21987596;;;OK
RBHU;142742;3;Corporates;SALGGLAS ÜVEGIPARI Zrt.;CORP_10;6663614.71;6663614.71;142742;142742;OK
RBRS;2025264;3;Corporates;ISS PROJECT TEAM DOO;CORP_10;9486.265357;9486.265357;2025264;2025264;OK
RBRO;107071;3;Corporates;ROMSTRADE SRL;CORP_10;1438.898342;1438.898342;107071;;OK
RBRO;716150;6;Small Medium Business (SMB);BIMARO ACTIV SRL;SME_10;1225.468358;1225.468358;716150;716150;OK
RBBY;951699;6;Small Medium Business (SMB);'BELMARKETING' ODO;SME_10;26742.2664;26742.2664;951699;951699;OK
TBSK;1224096;6;Small Medium Business (SMB);Juraj Tomanovics - DREVEX;SME_10;6392.98;6392.98;1224096;1224096;OK
RBHU;765264;3;Corporates;C&P Project Trade Kft.;CORP_10;286.2709107;286.2709107;765264;765264;OK
RBHR;128296;6;Small Medium Business (SMB);HORVAT TURIZAM, D.O.O.;SME_10;84242.43125;84242.43125;128296;128296;OK
RBRO;808311;6;Small Medium Business (SMB);M & A GOLD FRUIT SPEDITION SRL;SME_10;775.7891677;775.7891677;808311;808311;OK
RBBH;936594;6;Small Medium Business (SMB);TR TARGET SAMARDZIC MARKO SP BRANJE;SME_10;82726.54576;82726.54576;936594;936594;OK
RBRS;141609;6;Small Medium Business (SMB);PRIMAR TEHNO DOO;SME_10;28433.849;28433.849;141609;141609;OK
RBBH;165894;3;Corporates;EUROPRONET BOSNIA DOO SARAJEVO;CORP_10;182205.8308;182205.8308;165894;165894;OK
RBHU;147815;3;Corporates;ENERGOTT Fejlesztõ és Vagyonkezelõ-Kft.;CORP_10;627.6648288;627.6648288;147815;147815;OK
AVAL;172869;3;Corporates;AL'TsEST;CORP_10;186.1929089;186.1929089;172869;;OK
RLRS;682690;3;Corporates;MINERAL PRO DOO BEOGRAD;CORP_10;14246.29;14246.29;682690;682690;OK
RBHU;725091;3;Corporates;Targa Promotion Kft.;CORP_10;712.4504201;712.4504201;725091;725091;OK
RBRO;653061;3;Corporates;ROTIEMME IMPEX SRL;CORP_10;84.68993062;84.68993062;653061;653061;OK
RBAL;162335;6;Small Medium Business (SMB);ERMANDI SHPK;SME_10;772860.2508;772860.2508;162335;162335;OK
RBHU;714811;3;Corporates;Olimpia Kerékpár Gyártó-, Kereskede-lmi és Szolgáltató Kft.;CORP_10;3.82;3.82;;;OK
AVAL;658746;3;Corporates;CHAO UKSNAB;CORP_10;4001182.78;4001182.78;658746;658746;OK
RBHU;512558;3;Corporates;Optimal-Management Tanácsadó Iroda-Kft.;CORP_10;310.7191607;310.7191607;512558;512558;OK
RBHU;1530717;6;Small Medium Business (SMB);"Eurocorsum-Line Kft. ""f. a.""";SME_10;109.23;109.23;1530717;1530717;OK
RBBY;1493386;6;Small Medium Business (SMB);DESYATYI REGION OOO;SME_10;6874.891721;6874.891721;1493386;1493386;OK
TBSK;206085;3;Corporates;VAGRICOL & Co., s.r.o.;CORP_10;293957.84;293957.84;206085;206085;OK
TLSK;746779;6;Small Medium Business (SMB);AgroMed, s.r.o.;SME_10;684.59;684.59;746779;746779;OK
RBRO;1640302;6;Small Medium Business (SMB);CAFENEAUA BUCURESTIULUI D ALTADATA;SME_10;59363.91354;59363.91354;1640302;1640302;OK
RBRS;946255;6;Small Medium Business (SMB);MWT DOO BACKA PALANKA;SME_10;85563.25468;85563.25468;946255;946255;OK
TBSK;122174;6;Small Medium Business (SMB);Ladislav Bajus - T.S.;SME_10;57487.01;57487.01;122174;122174;OK
RLAL;233002;6;Small Medium Business (SMB);LLAKAJ SHPK;SME_10;1744.15;1744.15;233002;;OK
RBCZ;1845411;3;Corporates;PRIVATE JOINT STOCK COMPANY COLLIER-Y GROUP POKROVS KE;CORP_10;2365454.85;2365454.85;1845411;1845411;OK
AVAL;1576462;6;Small Medium Business (SMB);"TOV ""TEK""Alektrans""";SME_10;11544.3357;11544.3357;1576462;1576462;OK
RBHR;134600;6;Small Medium Business (SMB);JO - LAME D.O.O.;SME_10;530891.2359;530891.2359;134600;;OK
RLCZ;1241146;6;Small Medium Business (SMB);Vaclav Benes;SME_10;5920.92;5920.92;1241146;1241146;OK
TLSK;1255586;6;Small Medium Business (SMB);BUS TRANS.SK, s. r. o.;SME_10;339422.22;339422.22;1255586;1255586;OK
TBSK;1448128;6;Small Medium Business (SMB);ELPAS, s.r.o.;SME_10;46972.71;46972.71;1448128;1448128;OK
ALEASS;702136;6;Small Medium Business (SMB);A.M.R. IMMOBILIARE SAS DI;SME_10;126684.33;126684.33;702136;702136;OK
TBSK;1223833;3;Corporates;SB hotels s.r.o. v konkurze;CORP_10;2393897.48;2393897.48;1223833;1223833;OK
RBRO;1314154;3;Corporates;GEORGIO FAST SRL;CORP_10;448404.146;448404.146;1314154;1314154;OK
RBI;221608;3;Corporates;Ahrofirma Rodnichok PAE;CORP_10;1453459.27;1453459.27;221608;221608;OK
RBBH;164846;6;Small Medium Business (SMB);TKM DOO ZENICA;SME_10;21725.83507;21725.83507;164846;164846;OK
AVAL;527309;6;Small Medium Business (SMB);TOV AHROINVEST - TT;SME_10;26590.64721;26590.64721;527309;527309;OK
AVAL;752090;6;Small Medium Business (SMB);"TOV ""Vatav""";SME_10;23513.35677;23513.35677;752090;752090;OK
RBBH;1211015;6;Small Medium Business (SMB);ZOGIC DOO MOSTAR;SME_10;1620.181713;1620.181713;1211015;1211015;OK
RBRU;507531;6;Small Medium Business (SMB);IEN GUZAEV VADIM ALEKSANDROVICH;SME_10;11000.49499;11000.49499;507531;507531;OK
